"osm_id";"name";"access";"amenity";"bottle";"capacity";"check_date";"cold_water";"colour";"covered";"description";"designation";"drinking_water";"drinking_water:legal";"drinking_water:seasonal";"drinking_water:type";"fee";"fixme";"fountain";"height";"hot_water";"image";"indoor";"level";"lit";"man_made";"mapillary";"model";"not:operator:wikidata";"note";"opening_hours";"operator";"operator:short";"operator:type";"operator:wikidata";"operator:wikipedia";"playground";"pump";"ref:room";"seasonal";"source";"start_date";"toilets:wheelchair";"type";"website";"wheelchair";"wikidata";"geometry";"city";"company";"description:de";"drinking_water:refill";"emergency";"office";"waste";"water_point";"artist_name";"artwork_type";"inscription";"location";"material";"tourism";"wheelchair:description";"wikimedia_commons";"addr:street";"dog";"drinkable";"image:0";"access:conditional";"alt_name";"loc_name";"natural";"note:de";"access:note:de";"architect";"button_operated";"denotation";"url";"wikipedia";"addr:postcode";"description:en";"ref";"width";"addr:city";"addr:housenumber";"addr:suburb";"contact:email";"contact:facebook";"contact:phone";"entrance";"payment:coins";"shop";"comment";"vending";"name:en";"stateofrepair";"survey:date";"note:opening_hours";"payment:none";"fire_hydrant:diameter";"fire_hydrant:position";"fire_hydrant:type";"heritage";"historic";"intermittent";"karlsruhe_brunnen_ref";"BLfD:criteria";"disused";"heritage:operator";"owner";"ref:BLfD";"created_by";"depth";"hazard";"temperature";"FIXME";"amenity_1";"ele";"wpt_description";"wpt_symbol";"flickr";"memorial";"charge";"refitted";"name:etymology:wikidata";"source:geometry";"source:position";"water";"inscription:de";"contact:fax"
"1255759952";"1255759952";NA;"customers";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.4093084, 52.4315183);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1348055731";"1348055731";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen, nur außerhalb der Frostperiode";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.3059014, 52.4557499);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1442452766";"1442452766";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.1970197, 52.5249428);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1743967859";"1743967859";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen Ringkolonnaden";NA;"yes";NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;"http://www.stadtentwicklung.berlin.de/bauen/brunnen/de/mar_hel/19.shtml";NA;NA;c(13.5630502, 52.5545592);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1773877379";"1773877379";NA;"yes";"drinking_water";NA;NA;"2022-09-21";NA;NA;NA;"Trinkbrunnen";NA;"yes";NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";NA;NA;NA;NA;NA;"http://www.stadtentwicklung.berlin.de/bauen/brunnen/de/pan/25.shtml";NA;NA;NA;NA;"limited";NA;c(13.4182015, 52.5367424);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1776499517";"1776499517";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"drinking_fountain";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.4921282, 52.4202153);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1800494148";"1800494148";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen";NA;NA;NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.4270349, 52.4883515);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1837489759...18";"1837489759";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;NA;"water_well";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"manual";NA;NA;"survey";NA;NA;NA;NA;NA;NA;c(13.1559478, 52.4063008);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2088659295";"2088659295";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.2070095, 52.5346659);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2364863441";"2364863441";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.3724099, 52.499449);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2394280368";"2394280368";NA;"customers";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.414736, 52.432594);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2394280415";"2394280415";NA;"customers";"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.41944, 52.433937);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2892843629";"2892843629";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.2538261, 52.5052032);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2935343034...24";"2935343034";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Öffentlicher Trinkwasserbrunnen";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;NA;"Energie und Wasser Potsdam GmbH";"EWP";"public";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.0919155, 52.3930189);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3033134292";"3033134292";NA;"yes";"drinking_water";NA;NA;"2021-09-01";NA;NA;NA;"Trinkbrunnen";NA;NA;NA;"yes";NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.342612, 52.5257542);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3048897564";"3048897564";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"May-Oct: open";"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.3201723, 52.4251203);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3126847766";"3126847766";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;"yes";"yes";NA;NA;"no";NA;"drinking";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.2104745, 52.4765982);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3517710497";"3517710497";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen";NA;"yes";"yes";"yes";NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Apr-Oct: Mo-Su,PH 00:00-24:00";"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.5263703, 52.4586807);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
